Verkada Command Connector Hardware Compatibility List
Below is a list all non-Verkada cameras that are currently compatible with Command Connector. Please complete the form below if you'd like to request support for a camera not listed.
https://www.verkada.com/security-cameras/command-connector/hcl/#camerarequest

Manufacturer,Model Name,Minimum Firmware Supported,Notes
3xLOGIC Inc.,VX-5M-B-RIAW,A6.2.2_2022.08.10,
3xLOGIC Inc.,VX-5M-OD-RIAW,A6.2.2_2021.04.23,
3xLOGIC Inc.,VX-5M20-B-RIAW,A6.2.2_2021.04.23,
3xLOGIC Inc.,VX-5M4-MB-IW,A6.2.1_2020.10.05,
3xLOGIC Inc.,VX-5M4-MD-IAW,A6.2.2_2021.04.23,
3xLOGIC Inc.,VX-6M-360-IAW,A6.2.1_2020.10.05,
3xLOGIC Inc.,VX-8M-180-IAW,A10.2.1_2020.10.05,
ACTi,A61,A1D-900-A2.03.23-AC,
ACTi,A62,A1D-900-A2.08.03-AC,
ACTi,A71,A1D-505-S2.10.05-AC,
ACTi,A95,A1D-900-A6.03.00-AC,
ACTi,D11,A1D-500-V6.08.30-AC,
ACTi,D92,A1D-500-V6.11.31-AC,
ACTi,E77,A1D-500-V6.12.34-AC,
ACTi,E97,A1D-500-V6.13.19-AC,
ACTi,KCM3911,A1D-311-V5.12.12-AC,
ACTi,Z84,IPC_D1202-B0007P37D1904C90B01,
ACTi,Z86,AC-Z016202.5.16.C05436.NB.210901,
ACTi,Z95,IPC_D1202-B0007P37D1904C90B01,
ALIBI Security,ALI-FB20,IPC_D1202-B0007P37D1904C81,
ALIBI Security,ALI-NS2015VR,V5.4.5 build 170309,
ALIBI Security,ALI-NS2016VR,V5.5.3 build 171025,
ALIBI Security,ALI-NS2018VR,V5.5.82 build 190325,
ALIBI Security,ALI-NS2036VR,V5.5.82 build 190325,
ALIBI Security,ALI-NS4014R,V5.5.82 build 190325,
ALIBI Security,ALI-NS4015R,V5.5.3 build 171025,
ALIBI Security,ALI-PT81-AI,GIPC-B6203.3.65.C00708.NB.211116,
ALIBI Security,NS2015VR,V5.4.5 build 170309,
ALIBI Security,PV3130R,V5.2.0 build 150508,
Advidia,A-300,V5.4.20 build 170414,
Advidia,A-34,V5.3.0 build 151209,
Advidia,A-47,V5.3.0 build 151209,
Advidia,B-31,A1D-311-V5.13.10-NB,
Advidia,B-5360-000,A1D-500-V6.12.14-NB,
Advidia,E-37-V,2.520.Advidia 00.24.R,
Advidia,IPC-01815,GIPC-B6203.3.15.C03839.NB.210901,
Advidia,IPC-01890,GIPC-B6203.3.15.C03839.NB.210901,
Advidia,IPC-01891,GIPC-B6203.3.15.C03839.NB.210901,
Advidia,IPC-02118,GIPC-B6203.6.10.C03858.NB.221206,
Advidia,M-45-FW,IPC_G6107-B0001P87D1806C62,
Advidia,M-45-FW-V2,GIPC-B6202.7.10.C03830.NB.221018,
Advidia,M-46-FW,IPC_G6107-B0001P87D1806C62,
Advidia,M-46-FW-V2,GIPC-B6202.7.10.C03830.NB.221018,
Advidia,M-46-V,GIPC-B6202.7.10.C03830.NB.221018,
Advidia,M-49-V,GIPC-B6202.7.10.C03830.NB.221018,
Advidia,M-5360,203.6.11,
Advidia,M-87-V,203.6.11,
Amcrest,IP2M-844E,2.800.0000018.0.R        Build Date 2021-07-08,Under settup > Camera > Video - please select H.264 for both Main Stream and Sub Stream
Amcrest,IP5M-B1186E,2.880.00AC001.0.R,Under settup > Camera > Video - please select H.264 for both Main Stream and Sub Stream
Amcrest,IP5M-D1188EW-AI-V3,2.880.00AC001.0.R,Under settup > Camera > Video - please select H.264 for both Main Stream and Sub Stream
Amcrest,IP8M-2493E-V2,2.820.00AC000.0.R,Under settup > Camera > Video - please select H.264 for both Main Stream and Sub Stream
Amcrest,IP8M-2693E-AI,2.820.00AC000.0.R,Under settup > Camera > Video - please select H.264 for both Main Stream and Sub Stream
Amcrest,IP8M-FCB2996EW-AI,3.120.00AC000.0.R,Under settup > Camera > Video - please select H.264 for both Main Stream and Sub Stream
Amcrest,IP8M-T2669E-AI,2.800.00AC001.0.R,Under settup > Camera > Video - please select H.264 for both Main Stream and Sub Stream
Arecont Vision,AV02CID-200,65362,
Arecont Vision,AV12176DN,65200,
Arecont Vision,AV12276DN,65210,
Arecont Vision,AV12375RS,65216,
Arecont Vision,AV20175DN,65200,
Arecont Vision,AV20275DN,65213,
Arecont Vision,AV20585PM,65216,
Arecont Vision,AV32576RSIR,65432,
Arecont Vision,AV40185DN,65200,
Arecont Vision,AV4655DN,65201,
Arecont Vision,AV4656DN,65201,
Arecont Vision,AV4956DN,65461,
Arecont Vision,AV6655DN,65201,
Avigilon,1.0-H3-DC1,2.6.0.100(13760),
Avigilon,1.0C-H4A-B2,4.10.4.72(32621),
Avigilon,1.3C-H4SL-D1,3.30.0.110(40000),
Avigilon,1.3C-H4SL-D1-IR,3.30.0.110(40000),
Avigilon,1.3C-H5SL-DO1-IR,4.10.0.96(32478),
Avigilon,1.3L-H3-D1,2.6.0.170(25798),
Avigilon,10.0C-H5DH-D1-IR,4.42.0.4(1e53f110),
Avigilon,10.0C-H5DH-DO1-IR,4.60.0.24(a939185a),
Avigilon,12.0W-H5A-FE-DO1,4.84.0.20(469d9a64),
Avigilon,12.0W-H5A-FE-DO1-IR,3.6.0.16(13255),
Avigilon,15C-H4A-3MH-180,4.36.0.14(9d7523cb),
Avigilon,15C-H4A-3MH-270,4.36.0.16(d3811948),
Avigilon,2.0-H3-B1,2.6.0.174(28266),
Avigilon,2.0-H3-B2,2.6.0.172(26469),
Avigilon,2.0-H3-B3,2.6.0.170(25798),
Avigilon,2.0-H3-D1,2.6.0.172(26469),
Avigilon,2.0-H3-DC1,2.6.0.172(26469),
Avigilon,2.0-H3-DP1,2.6.0.130(9548),
Avigilon,2.0-H3M-DC1,2.6.0.142(9557),
Avigilon,2.0-H3M-DO1,2.6.0.142(9557),
Avigilon,2.0C-H3A-D1,3.6.0.26(13803),
Avigilon,2.0C-H4A-DC1,3.16.0.222(22456),
Avigilon,2.0C-H4A-DO1-IR,4.10.4.72(32621),
Avigilon,2.0C-H4M-D1,3.30.0.96(32041),
Avigilon,2.0C-H4SL-D1,3.16.0.222(22456),
Avigilon,2.0C-H4SL-DO1-IR,3.16.0.234(23830),
Avigilon,2.0C-H5A-BO1-IR,4.80.0.22(0c5a7909),
Avigilon,2.0C-H5A-DC1-IR,4.10.0.96(32478),
Avigilon,2.0C-H5A-DO1-IR,4.78.0.18(db13a7ba),
Avigilon,2.0C-H5M-DO1-IR,4.12.0.82(33818),
Avigilon,2.0C-H5SL-D1,4.10.0.96(32478),
Avigilon,2.0W-H3-BO2-IR,2.6.0.82(12189),
Avigilon,20C-H4A-4MH-360,4.36.0.12,
Avigilon,20C-H5A-4MH,4.86.0.20(7a7d6563),
Avigilon,24C-H4A-3MH-180,4.36.0.4(1742b9cd),
Avigilon,24C-H5A-3MH,4.86.0.20(7a7d6563),
Avigilon,3.0C-H4A-D1,3.28.0.86(27711),
Avigilon,3.0C-H4A-D1-IR,3.10.0.42(14581),
Avigilon,3.0C-H4SL-BO1-IR,3.30.0.82(30601),
Avigilon,3.0C-H4SL-D1,3.30.0.110(40000),
Avigilon,3.0C-H4SL-D1-IR,3.30.0.110(40000),
Avigilon,3.0C-H4VI-RO1-IR,3.30.0.110(40000),
Avigilon,3.0C-H5A-CR1-IR,4.84.0.20(469d9a64),
Avigilon,3.0C-H5SL-BO1-IR,4.10.0.80(32448),
Avigilon,3.0W-H3-DO1-IR,3.6.0.16(13255),
Avigilon,360-W-30,6.7.9,ONVIF mode needs to be configured in the camera UI.
Avigilon,4.0C-H5A-BO1-IR,4.8.0.12(40000),
Avigilon,4.0C-H5A-BO2-IR,4.38.0.32(a3802d6b),
Avigilon,4.0C-H5A-DO1-IR,4.8.0.12(40000),
Avigilon,4.0C-H5A-DO1-IR(3275675),4.8.0.12(40000),
Avigilon,5.0-H3-BO1-IR,2.6.0.172(26469),
Avigilon,5.0-H3-DO1,2.6.0.170(25798),
Avigilon,5.0C-H5M-DO1-IR,4.12.0.82(33818),
Avigilon,5.0C-H5M-DO1-IR(5564422),4.12.0.82(33818),
Avigilon,5.0C-H5SL-BO1-IR,4.10.0.96(32478),
Avigilon,5.0C-H5SL-DO1-IR,4.10.0.106(32500),
Avigilon,5.0C-H6SL-D1-IR,4.86.0.20(7a7d6563),
Avigilon,5.0L-H4A-BO1-IR,4.10.4.72(32621),
Avigilon,5.0L-H4A-BO1-IR-B,4.10.4.72(32621),
Avigilon,5.0L-H4A-BO2-IR,4.10.4.72(32621),
Avigilon,6.0C-H5A-BO1-IR,4.80.0.22(0c5a7909),
Avigilon,6.0C-H5A-D1-IR,4.80.0.16(835f547f),
Avigilon,6.0C-H5A-DO1-IR,4.38.0.18(92ed8926),
Avigilon,6.0C-H5DH-DO1-IR,4.80.0.22(0c5a7909),
Avigilon,640F-H5A-THR-BO32,4.62.0.8(c85ab28b),
Avigilon,640S-H4A-THC-BO12,4.16.0.44(35211),
Avigilon,8.0C-H5A-BO1-IR,4.86.0.20(7a7d6563),
Avigilon,8.0C-H5A-FE-DO1,4.10.0.96(32478),
Avigilon,8.0C-H6A-BO1-IR,4.12.0.82(33818),
Avigilon,9W-H3-3MH-DC1,3.2.0.46(22730),
Avigilon,9W-H3-3MH-DP1,3.24.2.110(25728),
Avigilon,BULLET-TE-W-4K-30,6.8.6,ONVIF mode needs to be configured in the camera UI.
Avigilon,DOME-W-4K-30,6.5.5,ONVIF mode needs to be configured in the camera UI.
Avigilon,ENC-4P-H264,2.2.0.86(5119),
Avigilon,H5A-MOD-2P,4.80.0.22(0c5a7909),
Avigilon,QUAD-20MP-30,6.5.5,QUAD-20MP-30
Avycon,AVC-NLV51F28,V18.25.8.2.3.4_230817,
Avycon,AVC-NPE51F28,AV-CM-365D,
Avycon,AVC-NSE51F28,V21.45.7.1_210518,
Axis Communications,2N IP Solo,2.23.0.32.6,
Axis Communications,2N IP Verso,1.65.9,
Axis Communications,2N IP Verso 2.0,2.44.1.57.4,
Axis Communications,A8004-VE,1.65.9,
Axis Communications,A8105-E,1.65.9,
Axis Communications,B - AXIS Q6000-E Mk II,,
Axis Communications,C - AXIS Q6000-E Mk II,,
Axis Communications,C - P3715-PLVE,,
Axis Communications,D - AXIS Q6000-E Mk II,,
Axis Communications,D2050-VE,7.35.4,
Axis Communications,D2110-VE,11.10.61,
Axis Communications,D2210-VE,11.10.61,
Axis Communications,E - AXIS Q6000-E Mk II,,
Axis Communications,ExCam XF P3807,11.10.61,
Axis Communications,F44 Dual Audio Input,6.50.1.3,
Axis Communications,FA51,11.10.61,
Axis Communications,I8016-LVE,12.0.98,
Axis Communications,M1055-L,11.10.61,
Axis Communications,M1065-LW,11.10.61,
Axis Communications,M1114,5.51.7.6,
Axis Communications,M1135 Mk II,11.10.61,
Axis Communications,M1137 Mk II,11.10.61,
Axis Communications,M2025-LE,9.80.55,
Axis Communications,M2026-LE,9.20.1,
Axis Communications,M2026-LE Mk II,5.51.7.6,
Axis Communications,M2026-LE-MkII,9.80.55,
Axis Communications,M2035-LE,10.12.166,
Axis Communications,M2036-LE,10.11.65,
Axis Communications,M3004,5.51.7.6,
Axis Communications,M3005,5.51.7.6,
Axis Communications,M3006,6.50.5.8,
Axis Communications,M3007,6.50.5.4,
Axis Communications,M3007-PV,5.70.1 & 6.50.5.2,
Axis Communications,M3014,5.51.7.6,
Axis Communications,M3024-L,5.51.7.6,
Axis Communications,M3025,5.51.5.2,
Axis Communications,M3027,5.55.1,
Axis Communications,M3044-V,9.80.78,
Axis Communications,M3045-V,8.40.3,
Axis Communications,M3046-V,9.70.1.5,
Axis Communications,M3047-P,8.40.37,
Axis Communications,M3057-PLVE Mk II,9.80.10,
Axis Communications,M3058,9.80.10,
Axis Communications,M3058-PLVE,7.45.1.2,
Axis Communications,M3065-V,10.11.65,
Axis Communications,M3066-V,9.80.2.2,
Axis Communications,M3067-P,11.10.61,
Axis Communications,M3068-P,9.80.3.2,
Axis Communications,M3077-PLVE,10.12.114,
Axis Communications,M3085-V,10.12.91,
Axis Communications,M3086-V,10.12.91,
Axis Communications,M3088-V,10.12.91,
Axis Communications,M3105-L,9.70.1.5,
Axis Communications,M3106-L Mk II,7.30.1.1,
Axis Communications,M3106-LVE Mk II,7.30.1.1,
Axis Communications,M3114,5.40.9.4,
Axis Communications,M3116-LVE,10.12.130,
Axis Communications,M3203,5.51.7.6,
Axis Communications,M3204,5.50.3,
Axis Communications,M3205-LVE,9.80.2.2,
Axis Communications,M3216-LVE,10.12.166,
Axis Communications,M4206-LV,9.80.2.4,
Axis Communications,M4215-LV,11.3.70,
Axis Communications,M4216-V,10.12.166,
Axis Communications,M4218-LV,11.3.70,
Axis Communications,M4308-PLE,10.11.55,
Axis Communications,M4317-PLVE,11.3.57,
Axis Communications,M4318-PLVE,11.4.63,
Axis Communications,M5000,11.10.61,
Axis Communications,M5000-G,11.10.61,
Axis Communications,M5013,5.40.11,
Axis Communications,M5014,5.51.5.2,
Axis Communications,M5055,6.53.2.1,
Axis Communications,M5074,11.10.61,
Axis Communications,M5075,11.10.61,
Axis Communications,M5075-G,11.10.61,
Axis Communications,M5525-E,11.10.61,
Axis Communications,M5526-E,11.10.61,
Axis Communications,M7011,5.40.9.4,
Axis Communications,M7104,11.10.61,
Axis Communications,P12/M20,5.40.9.4,
Axis Communications,P1344,5.40.9,
Axis Communications,P1357,6.50.4,
Axis Communications,P1375,11.10.61,
Axis Communications,P1377,11.10.61,
Axis Communications,P1378-LE,11.10.61,
Axis Communications,P1385,11.10.61,
Axis Communications,P1385-B,11.10.61,
Axis Communications,P1387,11.10.61,
Axis Communications,P1387-B,11.10.61,
Axis Communications,P1388,11.10.61,
Axis Communications,P1388-B,11.10.61,
